gauge;gauge_id;durchl‰ssigkeit_huek250;dominating_soil_type_bk500;gesteinsart_huek250;land_use_corine;area_m2_watershed;grundwasserneubildung_gwn_1000;greundigkeit_physgru_1000;slope_mean_dem_40;perimeter;max_flow_len
Adelshausen;42780500;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Grassland;116131615.2;112.135869;5.274001193;8.89779362;2635961436;24117.70117
Ahl UW;24781206;gering (>1E-7 - 1E-5);Eutric Cambisols;Sediment;Grassland;231645430;148.9571358;8.487793572;6.55224493;3685828989;28206.71094
Alsfeld;42880458;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Grassland;131493849.4;137.6134082;16.44116037;4.265928572;2791429376;23858.77734
Asslar;25842500;maessig (>1E-5 - 1E-4);Eutric Cambisols;Magmatit;Wood;693990399.9;134.9533504;5.82442421;8.361496739;7343273162;55952.03125
Auhammer;42810204;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;489601265.1;184.2041657;5.299180328;10.67782665;6276424002;73292.97656
Bad Hersfeld 1;42710050;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Grassland;2120724498;128.8769722;7.699952618;6.220881611;10567914319;94924.3125
Bad Hersfeld 2;42590301;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Grassland;74883490.39;97.04569356;5.356227106;9.191873475;2246784182;21658.29102
Bad Salzschlirf;42430156;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Grassland;135000903.8;190.9749399;9.381276151;4.945642458;2622423027;32531.20898
Bad Soden;24781909;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Grassland;89330138.33;177.0199651;9.508580343;4.754175875;2862161547;29081.50781
Bad Vilbel;24870055;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Agriculture;1621061595;103.2858027;13.63401564;4.121316331;9921596443;87180.33594
Bartenhausen;25822659;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Wood;274600973.2;93.10042371;9.73496994;6.436942765;4235838983;33609.36328
Bensheim;23950104;gering bis aeuﬂerst gering (<1E-5);Dystric Cambisols ;Magmatit;Grassland;26856005.34;144.9781831;6.922865014;10.76915503;1656201949;14366.44336
Biedenkopf;25810558;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;304328932;151.6636034;5.955147059;11.24475403;4901293523;33282.00391
Bischhausen;41850054;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Grassland;150027507.5;124.8816611;5.547240412;9.241924589;3200725049;24031.32031
Bonbaden;25850257;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;98413161.08;73.01232496;5.782106782;6.847574863;2505881456;19342.3125
Braunsen;44430055;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Agriculture;116897497.8;92.65154952;8.102266124;7.234284757;2538500982;19421.82813
Breidenbach;25810354;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Grassland;93113358.99;142.3355505;6.766747377;8.486858385;2825977486;18880.0625
Bruchenbruecken;24841250;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Agriculture;513983970.3;77.4688725;13.50482482;3.870269244;7709567971;64987.96875
Buedingen;24861054;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Wood;93689112.67;150.3966799;8.560046189;6.267330411;3034839307;29926.70508
Dalwigksthal;42840453;sehr gering (>1E-9 - 1E-7);Spodic Cambisols;Sediment;Grassland;228808523.9;120.9928835;5.439147762;9.37533867;4418981571;31754.64453
Dillenburg 1;25840708;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;251080592.1;164.8472829;5.69997022;8.488668015;4491371772;25410.73047
Dillenburg 2;25840650;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;81925634.41;141.9477012;6.483318305;10.32464155;2722057147;22592.5
Eberstadt;23960709;gering bis aeuﬂerst gering (<1E-5);Dystric Cambisols ;Magmatit;Grassland;85976162.04;135.216469;11.36124177;6.929924943;2694729117;29002.6875
Ehringen;44480552;gering bis aeuﬂerst gering (<1E-5);Eutric Cambisols;Sediment;Agriculture;137732074.5;79.97587456;10.34081527;4.860730553;2575795684;20689.07031
Eichelsachsen;24810359;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Grassland;23848554.29;210.7304781;6.964179104;6.370580843;1173892758;12355.0752
Eppstein;24960307;gering bis aeuﬂerst gering (<1E-5);Dystric Cambisols;Sediment;Wood;110368185.8;75.80231488;6.034208708;8.149484907;2061215309;17265.84961
Essershausen;25860851;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;205843874.3;77.12933577;4.933424377;8.346240857;3938298912;41657.82813
Etzelmuehle;25831059;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;81138019.65;97.42708482;10.04343891;7.916689824;2461137999;19631.5332
Fahrenbach;23940359;gering bis aeuﬂerst gering (<1E-5);Dystric Cambisols ;Magmatit;Grassland;44237325.79;159.3705196;8.885737439;10.41319598;1912527056;11552.23438
Friedberg;24841206;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Agriculture;183595925.3;68.82705526;8.747474747;5.071132744;3296770430;34911.63281
Fritzlar;42870057;sehr gering (>1E-9 - 1E-7);Spodic Cambisols;Sediment;Wood;1800724676;122.8327337;6.678257394;8.72982707;13060645888;155291.6094
Gelnhausen;24783450;mittel bis maessig (>1E-5 - 1E-3);Dystric Cambisols;Magmatit;Grassland;673245560.9;161.6062826;9.541140248;6.969149898;6875632979;52865.82031
Gemuenden;25822251;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Wood;102180357.1;86.48175099;9.607333333;7.266537226;2284924375;15825.85352
